id,name,correct_id
TA1307000136,Clark St & Wellington Ave,156
TA1309000035,Clark St & Winnemac Ave,325
TA1305000014,Clark St & Wrightwood Ave,340
TA1307000163,Clifton Ave & Armitage Ave,223
TA1307000044,Clinton St & 18th St,170
13021,Clinton St & Lake St,66
TA1305000032,Clinton St & Madison St,77
15542,Clinton St & Polk St,103
WL-008,Clinton St & Roosevelt Rd,57
13037,Clinton St & Tilden St,68
WL-012,Clinton St & Washington Blvd,91
TA1307000115,Clybourn Ave & Division St,138
20230,Clyde Ave & 87th St,708
13263,Columbus Dr & Randolph St,195
20225,Commercial Ave & 100th St,734
20213,Commercial Ave & 130th St,722
TA1309000051,Commercial Ave & 83rd St,581
20228,Constance Ave & 95th St,701
KA1503000007,Cornell Ave & Hyde Park Blvd,417
20131,Cottage Grove Ave & 111th Pl,698
TA1308000023,Cottage Grove Ave & 43rd St,271
TA1309000053,Cottage Grove Ave & 47th St,336
TA1309000067,Cottage Grove Ave & 51st St,351
KA1503000054,Cottage Grove Ave & 63rd St,427
KA1503000031,Cottage Grove Ave & 67th St,429
KA1503000003,Cottage Grove Ave & 71st St,400
TA1308000038,Cottage Grove Ave & Oakwood Blvd,265
TA1306000010,Daley Center Plaza,81
13288,Damen Ave & Charleston St,310
13132,Damen Ave & Chicago Ave,128
13271,Damen Ave & Clybourn Ave,163
13133,Damen Ave & Cortland St,219
TA1307000066,Damen Ave & Coulter St,167
13089,Damen Ave & Cullerton St,124
13136,Damen Ave & Division St,130
KA1504000149,Damen Ave & Foster Ave,464
TA1308000006,Damen Ave & Grand Ave,214
TA1307000158,Damen Ave & Leland Ave,242
13134,Damen Ave & Madison St,215
13143,Damen Ave & Melrose Ave,228
TA1305000041,Damen Ave & Pierce Ave,69
TA1309000012,Damen Ave & Sunnyside Ave,316
TA1307000070,Damen Ave & Thomas St (Augusta Blvd),183
20,Damen Ave & Wabansia Ave,
KA17018054,Damen Ave & Walnut (Lake) St,656
13268,Damen Ave & Wellington Ave,162
20113,Dauphin Ave & 103rd St,695
20116,Dauphin Ave & 87th St,706
13058,Dayton St & North Ave,60
TA1307000128,Dearborn Pkwy & Delaware Pl,140
TA1305000005,Dearborn St & Adams St,37
13045,Dearborn St & Erie St,110
TA1305000006,Dearborn St & Monroe St,49
KA1706005007,Delano Ct & Roosevelt Rd,626
15539,Desplaines St & Jackson Blvd,107
TA1306000003,Desplaines St & Kinzie St,56
15535,Desplaines St & Randolph St,96
DIVVY CASSETTE REPAIR MOBILE STATION,DIVVY CASSETTE REPAIR MOBILE STATION,
E011,Dodge Ave & Main St,625
KA1503000069,Dorchester Ave & 49th St,416
KA1503000046,Dorchester Ave & 63rd St,428
20114,Doty Ave & 111th St,742
KA1504000142,Drake Ave & Addison St,489
KA1504000097,Drake Ave & Montrose Ave,479
KA1503000064,Dusable Harbor,6
TA1309000049,DuSable Lake Shore Dr & Belmont Ave,334
TA1309000039,DuSable Lake Shore Dr & Diversey Pkwy,329
13300,DuSable Lake Shore Dr & Monroe St,76
LF-005,DuSable Lake Shore Dr & North Blvd,268
TA1306000029,DuSable Lake Shore Dr & Ohio St,
TA1307000041,DuSable Lake Shore Dr & Wellington Ave,157
KA1503000075,DuSable Museum,422
20231,East End Ave & 87th St,686
20211,Eberhart Ave & 131st St,716
KA1503000033,Eberhart Ave & 61st St,431
20110,Eberhart Ave & 91st St,682
13289,Eckhart Park,86
20118,Eggleston Ave & 92nd St,691
13197,Elizabeth (May) St & Fulton St,217
20119,Elizabeth St & 92nd St,689
KA1503000052,Ellis Ave & 53rd St,418
KA1504000076,Ellis Ave & 55th St,420
TA1309000011,Ellis Ave & 58th St,328
KA1503000014,Ellis Ave & 60th St,426
TA1305000039,Elston Ave & Cortland St,58
TA1309000032,Elston Ave & Wabansia Ave,315
TA1307000153,Emerald Ave & 28th St,207
TA1309000055,Emerald Ave & 31st St,339
20223,Ewing Ave & Burnham Greenway,718
TA1305000003,Fairbanks Ct & Grand Ave,24
18003,Fairbanks St & Superior St,635
380,Fairfield Ave & 44th St,
KA1504000102,Fairfield Ave & Roosevelt Rd,436
SL-008,Federal St & Polk St,41
15534,Field Blvd & South Water St,7
13029,Field Museum,97
SL-010,Financial Pl & Ida B Wells Dr,89
TA1307000048,Fort Dearborn Dr & 31st St,150
KA1504000160,Francisco Ave & Foster Ave,471
TA1309000008,Franklin St & Adams St (Temp),286
13017,Franklin St & Chicago Ave,31
RN-,Franklin St & Illinois St,672
TA1305000025,Franklin St & Jackson Blvd,36
TA1307000111,Franklin St & Lake St,164
TA1309000007,Franklin St & Monroe St,287
KA1504000175,Glenwood Ave & Morse Ave,447
TA1307000120,Green St & Madison St,198
13053,Green St & Randolph St,112
13294,Greenview Ave & Diversey Pkwy,319
TA1307000001,Greenview Ave & Fullerton Ave,188
TA1308000002,Greenwood Ave & 47th St,252
20235,Greenwood Ave & 91st St,702
20238,Greenwood Ave & 97th St,703
20108,Hale Ave & 107th St,
KA1503000055,Halsted & 63rd - Kennedy-King Vaccination Site,
20125,Halsted St & 104th St,
20127,Halsted St & 111th St,
13099,Halsted St & 18th St,
13099,Halsted St & 18th St (Temp),
13162,Halsted St & 21st St,
TA1308000043,Halsted St & 35th St,
TA1307000161,Halsted St & 37th St,
KA1503000051,Halsted St & 47th Pl,
KA1503000010,Halsted St & 51st St,
KA1503000011,Halsted St & 56th St,
KA1503000055,Halsted St & 63rd St,
15597,Halsted St & 69th St,
20244,Halsted St & 73rd St,
20233,Halsted St & 78th St,
20105,Halsted St & 96th St,
TA1308000013,Halsted St & Archer Ave,
13192,Halsted St & Dickens Ave,
TA1309000001,Halsted St & Maxwell St,
KA1504000117,Halsted St & North Branch St,
TA1307000121,Halsted St & Polk St,
TA1305000017,Halsted St & Roosevelt Rd,
TA1309000025,Halsted St & Roscoe St,
TA1307000166,Halsted St & Willow St,
TA1309000061,Halsted St & Wrightwood Ave,
202480,Hampden Ct & Diversey Ave,
332,Harding Ave & 26th St,
KA1503000070,Harper Ave & 59th St,
20215,Hegewisch Metra Station,
13080,Hermitage Ave & Polk St,
364,Homan Ave & Fillmore St,
20206,Homewood Ave & 115th St,
TA1305000034,Honore St & Division St,
20242,Houston Ave & 92nd St,
KA1504000091,Hoyne Ave & 47th St,
675,HQ QR,
Hubbard Bike-checking (LBS-WH-TEST),HUBBARD ST BIKE CHECKING (LBS-WH-TEST),
671,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),
NULL,hubbard_test_lws,
15651,Humboldt Blvd & Armitage Ave,
20112,Indiana Ave & 103rd St,
20240,Indiana Ave & 133rd St,
TA1307000005,Indiana Ave & 26th St,
TA1308000036,Indiana Ave & 31st St,
13083,Indiana Ave & 40th St,
SL-005,Indiana Ave & Roosevelt Rd,
WL-011,Jefferson St & Monroe St,
KA1503000030,Jeffery Blvd & 67th St,
KA1503000018,Jeffery Blvd & 71st St,
KA1503000028,Jeffery Blvd & 76th St,
20201,Kedzie Ave & 104th St,
20204,Kedzie Ave & 110th St,
15686,Kedzie Ave & 21st St,
KA1504000086,Kedzie Ave & 24th St,
KA1504000167,Kedzie Ave & Bryn Mawr Ave,
KA1504000114,Kedzie Ave & Chicago Ave,
KA1504000128,Kedzie Ave & Foster Ave,
KA1504000082,Kedzie Ave & Harrison St,
KA1504000106,Kedzie Ave & Lake St,
KA1504000126,Kedzie Ave & Leland Ave,
13085,Kedzie Ave & Milwaukee Ave,
13292,Kedzie Ave & Palmer Ct,
15682,Kedzie Ave & Roosevelt Rd,
330,Keeler Ave & Roosevelt Rd,
361,Kenosha & Wellington,
16010,Keystone Ave & Fullerton Ave,
KA1504000164,Keystone Ave & Montrose Ave,
360,Kilbourn & Roscoe,
16994,Kilbourn Ave & Milwaukee Ave,
365,Kildare Ave & 26th St,
371,Kildare Ave & Chicago Ave,
KA1706005015,Kildare Ave & Montrose Ave,
358,Kilpatrick Ave & Parker Ave,
KA150400009X,Kimball Ave & Belmont Ave,
TA1309000037,Kimbark Ave & 53rd St,
13265,Kingsbury St & Erie St,
KA1503000043,Kingsbury St & Kinzie St,
335,Komensky Ave & 31st St,
15643,Kosciuszko Park,
13307,Laflin St & Cullerton St,
KA1503000004,Lake Park Ave & 35th St,
TA1308000035,Lake Park Ave & 47th St,
KA1503000059,Lake Park Ave & 53rd St,
TA1309000063,Lake Park Ave & 56th St,
TA1309000049,Lake Shore Dr & Belmont Ave,
TA1309000039,Lake Shore Dr & Diversey Pkwy,
13300,Lake Shore Dr & Monroe St,
LF-005,Lake Shore Dr & North Blvd,
TA1306000029,Lake Shore Dr & Ohio St,
TA1307000041,Lake Shore Dr & Wellington Ave,
459,Lakefront Trail & Bryn Mawr Ave,
KA1504000152,Lakefront Trail & Bryn Mawr Ave,
TA1309000019,Lakeview Ave & Fullerton Pkwy,
357,Lamon Ave & Armitage Ave,
TA1309000006,Larrabee St & Armitage Ave,
KA1504000079,Larrabee St & Division St,
TA1306000009,Larrabee St & Kingsbury St,
TA1306000007,Larrabee St & Menomonee St,
TA1306000008,Larrabee St & North Ave,
KA1504000116,Larrabee St & Oak St,
13193,Larrabee St & Webster Ave,
KP1705001026,LaSalle Dr & Huron St,
KA1503000034,LaSalle St & Adams St,
13430,LaSalle St & Illinois St,
TA1309000004,LaSalle St & Jackson Blvd,
13006,LaSalle St & Washington St,
20203,Lawndale Ave & 111th St,
362,Lawndale Ave & 16th St,
334,Lawndale Ave & 30th St,
KA1504000143,Leavitt St & Addison St,
KA1503000068,Leavitt St & Archer Ave,
TA1309000029,Leavitt St & Armitage Ave,
KA17018068,Leavitt St & Belmont Ave,
18058,Leavitt St & Chicago Ave,
TA1309000015,Leavitt St & Lawrence Ave,
TA1308000005,Leavitt St & North Ave,
TA1309000050,Lincoln Ave & Addison St,
TA1309000026,Lincoln Ave & Belle Plaine Ave,
TA1309000042,Lincoln Ave & Belmont Ave,
TA1307000064,Lincoln Ave & Diversey Pkwy,
TA1309000058,Lincoln Ave & Fullerton Ave,
TA1307000138,Lincoln Ave & Roscoe St,
TA1307000156,Lincoln Ave & Sunnyside Ave,
13253,Lincoln Ave & Waveland Ave,
KA1504000078,Lincoln Ave & Winona St,
LP-,Lincoln Park Conservatory,
E014,Lincolnwood Dr & Central St,
TA1308000031,Logan Blvd & Elston Ave,
20121,Loomis Blvd & 84th St,
201022,Loomis St & 89th St,
20102,Loomis St & 89th St,
KA1503000040,Loomis St & Archer Ave,
13206,Loomis St & Jackson Blvd,
13332,Loomis St & Lexington St,
20999,Lyft Driver Center Private Rack,
20207,Major Taylor Trail & 115th St,
20208,Major Taylor Trail & 124th St,
KA1504000127,Manor Ave & Leland Ave,
389,Maplewood Ave & 59th St,
KA1504000130,Maplewood Ave & Peterson Ave,
KA1504000171,Marine Dr & Ainslie St,
20239,Marquette Ave & 89th St,
TA1305000039,Marshfield Ave & Cortland St,
20134,Maryland Ave & 104th St,
473,Mason Ave & Belmont Ave,
13331,May St & Cullerton St,
13160,May St & Taylor St,
KA1503000041,McClurg Ct & Erie St,
TA1306000029,McClurg Ct & Ohio St,
TA1305000004,McCormick Place,
20243,Michigan Ave & 114th St,
TA1307000124,Michigan Ave & 14th St,
13150,Michigan Ave & 18th St,
651,Michigan Ave & 71st St,
TA1305000010,Michigan Ave & Ida B Wells Dr,
TA1309000002,Michigan Ave & Jackson Blvd,
TA1305000011,Michigan Ave & Lake St,
13036,Michigan Ave & Madison St,
13042,Michigan Ave & Oak St,
13034,Michigan Ave & Pearson St,
13001,Michigan Ave & Washington St,
15529,Mies van der Rohe Way & Chestnut St,
13338,Mies van der Rohe Way & Chicago Ave,
KA1504000110,Millard Ave & 26th St,
13008,Millennium Park,
16991,Milwaukee Ave & Cuyler Ave,
13033,Milwaukee Ave & Grand Ave,
13242,Milwaukee Ave & Rockwell St,
13243,Milwaukee Ave & Wabansia Ave,
TA1307000139,MLK Jr Dr & 29th St,
TA1308000007,MLK Jr Dr & 47th St,
KA1503000073,MLK Jr Dr & 56th St,
KA1503000053,MLK Jr Dr & 63rd St,
13420,MLK Jr Dr & Pershing Rd,
KA1504000139,Monticello Ave & Irving Park Rd,
TA1308000012,Montrose Harbor,
TA1306000002,Morgan Ave & 14th Pl,
13163,Morgan St & 18th St,
TA1308000046,Morgan St & 31st St,
TA1306000015,Morgan St & Lake St,
16933,Morgan St & Pershing Rd,
TA1307000130,Morgan St & Polk St,
670,MTL-ECO5.1-01,
KA1503000074,Museum of Science and Industry,
20251,N Carpenter St & W Lake St,
NULL,N Clark St & W Elm St,
20249,N Clark St & W Elm St,
20255,N Damen Ave & W Chicago Ave,
20258,N Damen Ave & W Wabansia St,
20246,N Green St & W Lake St,
20248,N Hampden Ct & W Diversey Ave,
20253,N Paulina St & Lincoln Ave,
20256,N Sheffield Ave & W Wellington Ave,
20257,N Southport Ave & W Newport Ave,
397,Narragansett Ave & School St,
TA1306000013,New St & Illinois St,
13290,Noble St & Milwaukee Ave,
TA1308000014,Normal Ave & Archer Ave,
NULL,NULL,
20215,NULL,
WL-008,NULL,
13221,NULL,
KA1504000158,Oakley Ave & Irving Park Rd,
RP-004,Oakley Ave & Touhy Ave,
TA1305000020,Ogden Ave & Chicago Ave,
13081,Ogden Ave & Congress Pkwy,
13194,Ogden Ave & Race Ave,
KA1504000101,Ogden Ave & Roosevelt Rd,
20226,Oglesby Ave & 100th St,
20111,Olive Harvey College,
TA1306000006,Orleans St & Elm St,
TA1305000022,Orleans St & Merchandise Mart Plaza,
TA1305000037,Paulina Ave & North Ave,
TA1307000159,Paulina St & 18th St,
KA1504000104,Paulina St & Flournoy St,
TA1309000021,Paulina St & Montrose Ave,
13158,Peoria St & Jackson Blvd,
KA1503000047,Perry Ave & 69th St,
TA1308000022,Pine Grove Ave & Irving Park Rd,
TA1307000150,Pine Grove Ave & Waveland Ave,
20260,Ping Tom Park (East),
KA1503000027,Prairie Ave & 43rd St,
TA1307000160,Prairie Ave & Garfield Blvd,
KA1503000009,Princeton Ave & 47th St,
KA1503000013,Princeton Ave & Garfield Blvd,
20103,Prospect Sq & 91st St,
331,Pulaski Rd & 21st St,
404,Pulaski Rd & 60th St,
KA1504000141,Pulaski Rd & Eddy St (Temp),
13165,Racine Ave & 13th St,
13304,Racine Ave & 15th St,
13164,Racine Ave & 18th St,
15446,Racine Ave & 35th St,
TA1308000019,Racine Ave & Belmont Ave,
TA1306000025,Racine Ave & Congress Pkwy,
TA1306000026,Racine Ave & Fullerton Ave,
13155,Racine Ave & Randolph St,
TA1309000059,Racine Ave & Wrightwood Ave,
KA1503000049,Rainbow Beach,
TA1309000018,Ravenswood Ave & Berteau Ave,
TA1307000149,Ravenswood Ave & Irving Park Rd,
TA1309000066,Ravenswood Ave & Lawrence Ave,
13215,Rhodes Ave & 32nd St,
15645,Richmond St & Diversey Ave,
RP-006,Ridge Blvd & Touhy Ave,
KA1504000134,Ritchie Ct & Banks St,
379,Rockwell St & Archer Ave,
KA1504000093,Rockwell St & Eastwood Ave,
KA1504000133,Rush St & Cedar St,
KA1503000044,Rush St & Hubbard St,
15530,Rush St & Superior St,
20126,S Aberdeen St & W 106th St,
20209,S Michigan Ave & E 118th St,
NULL,S Michigan Ave & E 118th St,
20128,S Wentworth Ave & W 111th St,
KA1504000113,Sacramento Blvd & Franklin Blvd,
13409,Sangamon St & Washington Blvd,
KA1504000096,Sawyer Ave & Irving Park Rd,
TA1307000062,Sedgwick St & Huron St,
TA1307000038,Sedgwick St & North Ave,
TA1307000143,Sedgwick St & Schiller St,
13191,Sedgwick St & Webster Ave,
13144,Seeley Ave & Roscoe St,
15544,Shedd Aquarium,
TA1306000016,Sheffield Ave & Fullerton Ave,
13154,Sheffield Ave & Kingsbury St,
TA1307000126,Sheffield Ave & Waveland Ave,
TA1309000033,Sheffield Ave & Webster Ave,
TA1307000052,Sheffield Ave & Wellington Ave,
TA1306000032,Sheffield Ave & Willow St,
TA1309000023,Sheffield Ave & Wrightwood Ave,
TA1309000027,Sheridan Rd & Buena Ave,
KA1504000159,Sheridan Rd & Greenleaf Ave,
13063,Sheridan Rd & Irving Park Rd,
TA1309000041,Sheridan Rd & Lawrence Ave,
RP-009,Sheridan Rd & Loyola Ave,
TA1307000107,Sheridan Rd & Montrose Ave,
15443,Shields Ave & 28th Pl,
KA1503000038,Shields Ave & 31st St,
KA1503000001,Shields Ave & 43rd St,
TA1308000009,Shore Dr & 55th St,
KA1503000029,South Shore Dr & 67th St,
KA1503000002,South Shore Dr & 71st St,
KA1503000020,South Shore Dr & 74th St,
13229,Southport Ave & Belmont Ave,
TA1308000047,Southport Ave & Clark St,
TA1309000030,Southport Ave & Clybourn Ave,
TA1309000043,Southport Ave & Irving Park Rd,
13071,Southport Ave & Roscoe St,
13235,Southport Ave & Waveland Ave,
TA1307000006,Southport Ave & Wellington Ave,
TA1307000113,Southport Ave & Wrightwood Ave,
366,Spaulding Ave & 16th St,
15650,Spaulding Ave & Armitage Ave,
15654,Spaulding Ave & Division St,
387,St Louis Ave & 59th St,
13016,St. Clair St & Erie St,
KA1504000161,St. Louis Ave & Balmoral Ave,
KA1504000090,St. Louis Ave & Fullerton Ave,
20210,State St & 123rd St,
SL-013,State St & 19th St,
13213,State St & 29th St,
13216,State St & 33rd St,
TA1307000129,State St & 35th St,
20104,State St & 95th St,
21544,State St & Chicago Ave,
SL-007,State St & Harrison St,
13050,State St & Kinzie St,
TA1307000061,State St & Pearson St,
15449,State St & Pershing Rd,
TA1305000029,State St & Randolph St,
TA1305000035,State St & Van Buren St,
13266,Stave St & Armitage Ave,
TA1308000029,Stetson Ave & South Water St,
20120,Stewart Ave & 83rd St,
13276,Stockton Dr & Wrightwood Ave,
KA1503000021,Stony Island Ave & 64th St,
KA1503000023,Stony Island Ave & 67th St,
KA1503000045,Stony Island Ave & 71st St,
KA1503000019,Stony Island Ave & 75th St,
20236,Stony Island Ave & 90th St,
13022,Streeter Dr & Grand Ave,
20101,Summit Ave & 86th St,
15632,Talman Ave & Addison St,
TA1308000001,Theater on the Lake,
13139,Throop St & Taylor St,
Throop/Hastings Mobile Station,Throop/Hastings Mobile Station,
20221,Torrence Ave & 106th St,
20217,Torrence Ave & 126th Pl,
363,Tripp Ave & 15th St,
368,Tripp Ave & 31st St,
15631,Troy St & Elston Ave,
15653,Troy St & North Ave,
KA1503000032,Union Ave & Root St,
KA1503000071,University Ave & 57th St,
20109,Vernon Ave & 107th St,
20124,Vincennes Ave & 104th St,
16953,Vincennes Ave & 75th St,
20202,W 103rd St & S Avers Ave,
NULL,W Armitage Ave & N Sheffield Ave,
20254,W Armitage Ave & N Sheffield Ave,
NULL,W Oakdale Ave & N Broadway,
20252,W Oakdale Ave & N Broadway,
20247,W Washington Blvd & N Peoria St,
SL-012,Wabash Ave & 16th St,
TA1309000010,Wabash Ave & 9th St,
KA1503000015,Wabash Ave & Adams St,
TA1305000001,Wabash Ave & Cermak Rd,
TA1307000117,Wabash Ave & Grand Ave,
TA1305000002,Wabash Ave & Roosevelt Rd,
TA1307000131,Wabash Ave & Wacker Pl,
KA1503000072,Wacker Dr & Washington St,
20107,Walden Pkwy & 100th St,
TA1308000045,Wallace St & 35th St,
18067,Walsh Park,
RP-002,Warren Park East,
RP-001,Warren Park West,
KA1504000080,Washtenaw Ave & Lawrence Ave,
KA1504000109,Washtenaw Ave & Ogden Ave,
676,WATSON TESTING - DIVVY,
SL-006,Wells St & 19th St,
TA1308000050,Wells St & Concord Ln,
KA1504000135,Wells St & Elm St,
TA1308000049,Wells St & Evergreen Ave,
TA1307000151,Wells St & Hubbard St,
TA1306000012,Wells St & Huron St,
SL-011,Wells St & Polk St,
TA1306000011,Wells St & Walton St,
20130,Wentworth Ave & 104th St,
TA1308000026,Wentworth Ave & 24th St (Temp),
15445,Wentworth Ave & 33rd St,
KA1503000005,Wentworth Ave & 35th St,
KA1503000025,Wentworth Ave & 63rd St,
13075,Wentworth Ave & Cermak Rd,
DIVVY 001,WEST CHI-WATSON,
KA1504000168,Western & 28th - Velasquez Institute Vaccination Site,
20123,Western Ave & 104th St,
20205,Western Ave & 111th St,
13091,Western Ave & 21st St,
TA1309000003,Western Ave & 24th St,
KA1504000168,Western Ave & 28th St,
15668,Western Ave & Congress Pkwy,
13241,Western Ave & Division St,
KA1504000129,Western Ave & Granville Ave,
TA1307000140,Western Ave & Leland Ave,
RP-005,Western Ave & Lunt Ave,
15667,Western Ave & Monroe St,
15634,Western Ave & Roscoe St,
KA1504000103,Western Ave & Walton St,
13068,Western Ave & Winnebago Ave,
TA1307000134,Wilton Ave & Belmont Ave,
TA1306000014,Wilton Ave & Diversey Pkwy,
KA1504000147,Winchester (Ravenswood) Ave & Balmoral Ave,
KA1504000140,Winchester Ave & Elston Ave,
TA1308000021,Winthrop Ave & Lawrence Ave,
TA1307000144,Wolcott (Ravenswood) Ave & Montrose Ave,
TA1309000064,Wolcott Ave & Polk St,
KA1503000066,Wood St & 35th St,
13432,Wood St & Hubbard St,
13221,Wood St & Milwaukee Ave,
13285,Wood St & Taylor St (Temp),
20133,Woodlawn & 103rd - Olive Harvey Vaccination Site,
TA1307000164,Woodlawn Ave & 55th St,
KA1503000065,Woodlawn Ave & Lake Park Ave,
KA1503000024,Yates Blvd & 75th St,
20237,Yates Blvd & 93rd St,
